id,secteur,hook_ou_angle,texte_publicitaire,call_to_action
1,Mode & Vêtements,Nouveauté - Lancement de Collection,Découvrez notre nouvelle collection Printemps/Été. Des tissus légers et des couleurs vibrantes pour illuminer votre garde-robe.,Explorer la Collection
2,Électronique,Bénéfice Principal - Son Immersif,Plongez dans un son cristallin. Notre nouveau casque audio bloque les distractions pour que vous puissiez vous concentrer sur ce qui compte vraiment.,Écoutez la Différence
3,Maison & Jardin,Problème/Solution - Rangement Optimisé,Manque de place? Nos solutions de rangement intelligentes transforment le chaos en ordre. Maximisez chaque centimètre carré de votre intérieur.,Organisez Votre Espace
4,Beauté & Bien-être,Preuve Sociale - Best-Seller,Rejoignez des milliers de clients satisfaits! Notre sérum à la vitamine C est noté 4.9/5 pour son éclat instantané et ses effets anti-âge.,Essayer le N°1 des Ventes
5,Alimentation & Boissons,Exclusivité - Édition Limitée,Goûtez l'exceptionnel. Notre café grand cru d'Éthiopie est disponible en quantité limitée. Une expérience de dégustation unique vous attend.,Commander Votre Sachet
6,Sport & Loisirs,Motivation - Atteindre ses Objectifs,"Dépassez vos limites. Nos chaussures de course sont conçues pour la performance, offrant un amorti et un soutien inégalés à chaque foulée.",Courir Plus Loin
7,Mode & Vêtements,Urgence - Offre Limitée,Dernière chance! -25% sur toute la collection de jeans. L'offre se termine ce soir à minuit. Ne passez pas à côté.,Profiter de l'Offre
8,Électronique,Problème/Solution - Fini les Câbles,"Libérez-vous des fils emmêlés. Profitez d'une liberté de mouvement totale avec nos écouteurs Bluetooth dernière génération. Connexion stable, autonomie de 24h.",Passez au Sans-Fil
9,Maison & Jardin,Proposition de Valeur - Qualité Durable,"Investissez dans la qualité qui dure. Notre linge de lit en lin français est conçu pour s'embellir à chaque lavage, pour des années de confort.",Découvrir la Qualité
10,Beauté & Bien-être,Naturalité - Ingrédients Purs,"Le meilleur de la nature pour votre peau. Nos soins sont formulés sans parabènes, sans sulfates et avec des ingrédients 100% d'origine naturelle.",Révélez Votre Beauté Naturelle
11,Alimentation & Boissons,Simplicité - Repas Rapides et Sains,"Mangez sainement même les jours de grande presse. Nos paniers-repas prêts en 5 minutes sont livrés chez vous. Frais, bio et délicieux.",Choisir Mon Panier
